    0           0.24403900           -94.631660                    0 
    1           0.22583400           -94.651475            -0.019815 
    2           0.24292800           -94.682564           -0.0509049 
    3           0.35053700           -94.684121           -0.0524609 
    4           0.33352600           -94.698665           -0.0670051 
    5           0.32145000           -94.734940             -0.10328 
    6           0.27852200           -94.778600             -0.14694 
    7           0.25263300           -94.781972            -0.150313 
    8           0.15614800           -94.820926            -0.189267 
    9           0.34822400           -94.845746            -0.214087 
   10           0.27209600           -94.849030             -0.21737 
   11           0.08646300           -94.868453            -0.236793 
   12           0.08507600           -94.869988            -0.238328 
   13           0.04604200           -94.872768            -0.241109 
   14           0.03657500           -94.873001            -0.241342 
   15           0.03438000           -94.872810             -0.24115 
   16           0.03453600           -94.872855            -0.241196 
   17           0.02748600           -94.872876            -0.241216 
